,0,0,0,0,0,0
stock_code,QQQ,QQQ,QQQ,QQQ,QQQ,QQQ
n_input,7,7,7,7,7,7
include_news,True,True,True,False,False,False
dropout,0.0,0.2,0.4,0.0,0.2,0.4
overall_training,0.78,0.77,0.74,0.79,0.7,0.64
overall_testing,0.56,0.58,0.54,0.49,0.53,0.51
201901,0.35,0.55,0.25,0.55,0.55,0.55
201902,0.63,0.63,0.58,0.53,0.58,0.58
201903,0.5,0.55,0.55,0.73,0.64,0.55
201904,0.7,0.75,0.75,0.25,0.4,0.4
201905,0.61,0.43,0.61,0.52,0.61,0.61
201906,0.48,0.43,0.43,0.48,0.52,0.38
201907,0.7,0.7,0.7,0.45,0.3,0.55
201908,0.57,0.57,0.52,0.52,0.57,0.48
201909,0.4,0.5,0.35,0.3,0.45,0.45
201910,0.36,0.45,0.41,0.5,0.5,0.36
201911,0.76,0.81,0.81,0.33,0.48,0.52
201912,0.68,0.58,0.47,0.68,0.74,0.74
